"MMM",166.99
"AXP",65.85
"AAPL",95.10
"BA",134.61
"CAT",77.85
"CVX",102.34
"CSCO",27.86
"KO",44.66
"DD",66.37
"XOM",88.25
"GE",30.91
"GS",164.29
"HD",132.82
"IBM",147.08
"INTC",31.11
"JNJ",112.32
"JPM",63.62
"MCD",127.61
"MRK",55.73
"MSFT",50.00
"NKE",58.55
"PFE",32.76
"PG",79.61
"TRV",109.17
"UNH",131.67
"UTX",103.22
"VZ",51.06
"V",77.81
"WMT",68.94
"DIS",104.08
